user_id,variant,country,device,viewed,clicked,add_to_cart,converted,revenue,pre_metric
0,A,US,ios,1,0,0,0,0.0,3.46
1,A,US,web,0,0,0,0,0.0,1.51
2,B,US,web,1,0,0,0,0.0,4.72
3,A,GB,android,0,0,0,0,0.0,0.79
4,B,US,web,1,1,1,0,0.0,1.34
5,B,IN,ios,1,0,0,0,0.0,0.54
6,B,IN,ios,1,0,0,0,0.0,0.95
7,A,IN,web,1,0,0,0,0.0,0.97
8,A,IN,web,1,0,0,0,0.0,4.96
9,A,IN,android,0,0,0,0,0.0,2.59
10,A,US,ios,1,1,0,0,0.0,0.77
11,B,US,android,1,1,0,0,0.0,0.35
12,B,GB,ios,1,0,0,0,0.0,9.4
13,A,US,web,1,1,0,0,0.0,1.79
14,B,GB,web,0,0,0,0,0.0,3.91
15,A,BR,android,1,0,0,0,0.0,2.17
16,B,IN,web,0,0,0,0,0.0,3.67
17,B,US,ios,1,1,0,0,0.0,7.96
18,B,US,web,1,0,0,0,0.0,1.97
19,B,IN,ios,0,0,0,0,0.0,4.55
20,B,IN,web,0,0,0,0,0.0,0.83
21,A,BR,ios,1,1,1,0,0.0,1.92
22,A,US,web,1,0,0,0,0.0,4.77
23,B,US,android,1,0,0,0,0.0,1.72
24,A,US,web,1,0,0,0,0.0,0.08
25,B,BR,android,1,0,0,0,0.0,2.39
26,B,US,android,1,0,0,0,0.0,2.31
27,A,US,web,0,0,0,0,0.0,4.25
28,B,US,web,1,1,0,0,0.0,3.03
29,A,IN,web,0,0,0,0,0.0,2.22
30,A,IN,ios,0,0,0,0,0.0,3.45
31,B,GB,web,1,1,0,0,0.0,0.66
32,A,IN,android,1,0,0,0,0.0,0.29
33,B,IN,android,1,1,0,0,0.0,0.99
34,A,IN,web,0,0,0,0,0.0,6.57
35,B,IN,web,1,0,0,0,0.0,0.59
36,B,US,web,1,0,0,0,0.0,2.97
37,B,US,ios,1,0,0,0,0.0,3.78
38,B,US,web,1,1,0,0,0.0,0.35
39,B,US,ios,1,1,0,0,0.0,1.74
40,B,US,web,1,0,0,0,0.0,2.31
41,B,US,web,1,1,0,0,0.0,8.64
42,A,IN,web,0,0,0,0,0.0,4.59
43,A,US,android,1,0,0,0,0.0,2.04
44,A,US,web,1,1,0,0,0.0,0.72
45,B,GB,web,0,0,0,0,0.0,2.23
46,B,US,web,0,0,0,0,0.0,1.35
47,A,US,web,1,0,0,0,0.0,2.37
48,B,US,web,1,1,0,0,0.0,1.65
49,A,US,web,1,1,0,0,0.0,2.5
50,B,GB,web,1,0,0,0,0.0,1.63
51,B,IN,ios,1,0,0,0,0.0,0.92
52,B,IN,web,1,0,0,0,0.0,5.26
53,A,BR,android,1,1,0,0,0.0,1.5
54,B,BR,android,1,0,0,0,0.0,1.86
55,B,IN,web,1,0,0,0,0.0,4.16
56,B,BR,web,1,0,0,0,0.0,0.47
57,B,IN,ios,0,0,0,0,0.0,3.7
58,B,BR,web,0,0,0,0,0.0,4.55
59,A,IN,web,1,0,0,0,0.0,3.58
60,B,US,web,1,0,0,0,0.0,2.15
61,A,IN,android,1,0,0,0,0.0,1.33
62,B,US,web,1,0,0,0,0.0,2.83
63,A,US,web,0,0,0,0,0.0,6.42
64,A,US,web,1,0,0,0,0.0,0.75
65,A,IN,web,1,1,0,0,0.0,0.98
66,B,US,web,0,0,0,0,0.0,4.28
67,B,US,web,1,0,0,0,0.0,0.23
68,A,IN,web,0,0,0,0,0.0,1.79
69,A,BR,android,1,0,0,0,0.0,0.32
70,A,BR,web,1,0,0,0,0.0,3.33
71,A,IN,web,0,0,0,0,0.0,3.36
72,B,IN,web,0,0,0,0,0.0,4.46
73,B,GB,ios,1,1,1,0,0.0,0.73
74,A,BR,web,1,0,0,0,0.0,3.45
75,A,IN,web,0,0,0,0,0.0,0.28
76,B,US,android,0,0,0,0,0.0,1.96
77,B,IN,ios,0,0,0,0,0.0,0.03
78,B,IN,android,0,0,0,0,0.0,7.1
79,A,BR,web,1,0,0,0,0.0,1.67
80,B,IN,web,1,0,0,0,0.0,0.16
81,A,BR,android,1,1,0,0,0.0,1.65
82,A,US,web,1,0,0,0,0.0,3.19
83,A,IN,android,1,1,1,0,0.0,10.59
84,A,US,ios,0,0,0,0,0.0,4.17
85,A,IN,web,0,0,0,0,0.0,1.57
86,B,GB,web,1,1,0,0,0.0,4.38
87,A,BR,android,1,0,0,0,0.0,6.23
88,A,US,android,1,1,0,0,0.0,1.59
89,B,BR,ios,1,1,1,0,0.0,2.21
90,B,US,web,1,0,0,0,0.0,3.49
91,B,US,web,0,0,0,0,0.0,2.0
92,B,US,ios,1,0,0,0,0.0,6.99
93,A,BR,android,1,0,0,0,0.0,6.47
94,B,US,web,0,0,0,0,0.0,2.71
95,A,GB,web,1,0,0,0,0.0,7.33
96,A,IN,web,0,0,0,0,0.0,4.52
97,A,GB,web,1,0,0,0,0.0,1.79
98,A,US,web,1,1,0,0,0.0,5.93
99,B,IN,web,0,0,0,0,0.0,0.69
100,A,IN,web,1,0,0,0,0.0,5.63
101,A,US,web,0,0,0,0,0.0,3.79
102,B,IN,web,1,0,0,0,0.0,2.87
